@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute myo1-5 numeric
@attribute myo1-6 numeric
@attribute myo1-7 numeric
@attribute myo1-8 numeric
@attribute myo1-9 numeric
@attribute myo1-10 numeric
@attribute myo1-11 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 numeric

@data
66,'2018/02/25 22:20:01:990',2,-0.405593,-0.239477,0.622329,0.501961,0.521569,0.470588,0.482353,0.486275,0.494118,0.513726,0.494118,?,0
67,'2018/02/25 22:20:01:994',2,-0.405593,-0.239477,0.622329,0.501961,0.521569,0.470588,0.482353,0.486275,0.494118,0.513726,0.494118,?,0
68,'2018/02/25 22:20:02:022',2,-0.405248,-0.239799,0.621967,0.494118,0.501961,0.509804,0.494118,0.482353,0.47451,0.521569,0.501961,?,0
69,'2018/02/25 22:20:02:056',2,-0.404211,-0.240655,0.621847,0.498039,0.494118,0.490196,0.498039,0.498039,0.498039,0.54902,0.501961,?,0
70,'2018/02/25 22:20:02:089',2,-0.403091,-0.241628,0.621077,0.478431,0.490196,0.564706,0.498039,0.478431,0.47451,0.482353,0.482353,?,0
71,'2018/02/25 22:20:02:094',2,-0.403091,-0.241628,0.621077,0.478431,0.490196,0.564706,0.498039,0.478431,0.47451,0.482353,0.482353,?,0
72,'2018/02/25 22:20:02:121',2,-0.401861,-0.242298,0.621665,0.494118,0.47451,0.34902,0.470588,0.486275,0.482353,0.482353,0.498039,?,0
73,'2018/02/25 22:20:02:155',2,-0.401478,-0.242496,0.622042,0.490196,0.470588,0.486275,0.494118,0.494118,0.490196,0.47451,0.498039,?,0
74,'2018/02/25 22:20:02:186',2,-0.400675,-0.242722,0.622217,0.498039,0.419608,0.470588,0.505882,0.501961,0.501961,0.482353,0.501961,?,0
75,'2018/02/25 22:20:02:196',2,-0.400675,-0.242722,0.622217,0.498039,0.419608,0.470588,0.505882,0.501961,0.501961,0.482353,0.501961,?,0
76,'2018/02/25 22:20:02:222',2,-0.400675,-0.242722,0.622217,0.498039,0.490196,0.47451,0.482353,0.486275,0.490196,0.490196,0.498039,?,0
77,'2018/02/25 22:20:02:248',2,-0.400657,-0.2427,0.622189,0.54902,0.572549,0.458824,0.490196,0.486275,0.478431,0.501961,0.494118,?,0
78,'2018/02/25 22:20:02:273',2,-0.400657,-0.2427,0.622189,0.458824,0.407843,0.431373,0.529412,0.513726,0.513726,0.501961,0.498039,?,0
